pillar,	day,	start,	length

0,	2016-11-15,	14:08:05,	1.594
0,	2016-11-15,	14:08:08,	0.789000000004
0,	2016-11-17,	12:27:36,	6.13
0,	2016-11-17,	12:29:02,	9.544
0,	2016-11-17,	12:29:28,	17.811
0,	2016-11-17,	12:29:46,	0.179000000004
0,	2016-11-17,	12:37:10,	7.593
0,	2016-11-17,	12:42:08,	4.988
0,	2016-11-17,	12:43:03,	3.564
0,	2016-11-17,	12:51:00,	24.627
0,	2016-11-17,	13:01:07,	3.06
0,	2016-11-17,	13:01:15,	17.729
0,	2016-11-17,	13:03:34,	3.175
0,	2016-11-17,	13:03:38,	8.737
0,	2016-11-17,	13:07:16,	0.906999999999
0,	2016-11-17,	13:15:21,	11.863
0,	2016-11-17,	13:50:48,	6.27
0,	2016-11-17,	13:52:02,	5.805
0,	2016-11-17,	13:54:18,	6.0
0,	2016-11-18,	4:38:21,	36.811
0,	2016-11-18,	4:40:25,	8.104
0,	2016-11-18,	4:40:35,	1.805
0,	2016-11-18,	4:42:09,	4.999
0,	2016-11-18,	4:42:47,	5.74
0,	2016-11-18,	4:43:01,	0.779000000002
0,	2016-11-18,	4:43:03,	9.003
0,	2016-11-18,	4:43:12,	1.469
0,	2016-11-18,	4:43:19,	0.518
0,	2016-11-18,	4:43:20,	1.428
0,	2016-11-18,	4:55:34,	5.556
0,	2016-11-18,	4:55:40,	0.294999999998
0,	2016-11-18,	4:56:27,	5.416
0,	2016-11-18,	4:56:38,	0.154999999999
0,	2016-11-18,	4:56:38,	15.162
0,	2016-11-18,	4:56:54,	0.149999999998
0,	2016-11-18,	4:57:25,	28.276
0,	2016-11-18,	4:59:14,	1.77
0,	2016-11-18,	5:00:48,	2.071
0,	2016-11-18,	5:00:51,	0.145999999997
0,	2016-11-18,	5:01:36,	4.678
0,	2016-11-18,	5:02:07,	1.551
0,	2016-11-18,	5:05:27,	0.451000000001
0,	2016-11-18,	5:08:15,	5.573
0,	2016-11-18,	5:08:43,	1.709
0,	2016-11-18,	5:08:46,	0.169000000002
0,	2016-11-18,	5:09:05,	5.516
0,	2016-11-18,	5:10:02,	1.609
0,	2016-11-18,	5:10:50,	2.729
0,	2016-11-18,	5:12:54,	3.846
0,	2016-11-18,	5:16:34,	0.171000000002
0,	2016-11-18,	5:16:34,	26.643
0,	2016-11-18,	5:19:31,	13.942
0,	2016-11-18,	5:19:45,	3.211
0,	2016-11-18,	5:19:48,	93.413
0,	2016-11-18,	5:21:22,	0.156999999999
0,	2016-11-18,	5:21:23,	58.618
0,	2016-11-18,	5:22:21,	21.165
0,	2016-11-18,	5:23:04,	3.316
0,	2016-11-18,	5:23:24,	5.742
0,	2016-11-18,	5:23:30,	0.355
0,	2016-11-18,	5:23:30,	0.179
0,	2016-11-18,	5:23:41,	6.911
0,	2016-11-18,	5:24:21,	4.127
0,	2016-11-18,	5:24:46,	9.713
0,	2016-11-18,	5:28:51,	4.168
0,	2016-11-18,	5:29:26,	0.149000000001
0,	2016-11-18,	5:29:26,	0.151999999998
0,	2016-11-18,	5:31:57,	3.671
0,	2016-11-18,	5:32:16,	31.065
0,	2016-11-18,	5:32:47,	5.124
0,	2016-11-18,	5:33:10,	1.36
0,	2016-11-18,	5:33:11,	0.303
0,	2016-11-18,	5:34:59,	3.845
0,	2016-11-18,	5:35:10,	0.450000000001
0,	2016-11-18,	5:37:04,	1.637
0,	2016-11-18,	5:39:55,	18.591
0,	2016-11-18,	5:40:14,	0.597999999998
0,	2016-11-18,	5:40:40,	2.47
0,	2016-11-18,	5:40:56,	5.486
0,	2016-11-18,	5:41:38,	4.94
0,	2016-11-18,	5:41:55,	6.783
0,	2016-11-18,	5:43:56,	11.624
0,	2016-11-18,	5:45:29,	11.502
0,	2016-11-18,	5:45:41,	80.448
0,	2016-11-18,	5:47:01,	4.367
0,	2016-11-18,	5:47:06,	0.289000000001
0,	2016-11-18,	5:47:06,	0.900000000001
0,	2016-11-18,	5:47:08,	0.901999999998
0,	2016-11-18,	5:49:09,	3.908
0,	2016-11-18,	5:49:20,	4.115
0,	2016-11-18,	5:49:25,	6.2
0,	2016-11-18,	5:50:47,	7.157
0,	2016-11-18,	5:50:55,	0.293000000001
0,	2016-11-18,	5:51:09,	2.563
0,	2016-11-18,	5:51:16,	0.153000000002
0,	2016-11-18,	5:54:11,	3.107
0,	2016-11-18,	5:54:24,	9.544
0,	2016-11-18,	5:54:39,	4.41
0,	2016-11-18,	5:55:02,	9.647
0,	2016-11-18,	5:57:11,	5.55
0,	2016-11-18,	5:58:50,	2.848
0,	2016-11-18,	5:58:53,	0.585000000003
0,	2016-11-18,	5:59:42,	51.922
0,	2016-11-18,	6:00:59,	5.902
0,	2016-11-18,	6:01:30,	5.49
0,	2016-11-18,	6:02:19,	1.342
0,	2016-11-18,	6:02:21,	0.146999999997
0,	2016-11-18,	6:02:22,	0.893
0,	2016-11-18,	6:02:23,	0.294999999998
0,	2016-11-18,	6:02:54,	2.114
0,	2016-11-18,	6:02:57,	0.593000000001
0,	2016-11-18,	6:03:17,	2.118
0,	2016-11-18,	6:03:45,	12.353
0,	2016-11-18,	6:03:57,	7.283
0,	2016-11-18,	6:04:11,	5.374
0,	2016-11-18,	6:04:29,	3.763
0,	2016-11-18,	6:06:30,	10.291
0,	2016-11-18,	6:07:34,	9.751
0,	2016-11-18,	6:09:20,	7.159
0,	2016-11-18,	6:09:53,	10.614
0,	2016-11-18,	6:10:03,	0.170999999998
0,	2016-11-18,	6:12:13,	0.149000000001
0,	2016-11-18,	6:12:14,	1.965
0,	2016-11-18,	6:12:16,	0.150999999998
0,	2016-11-18,	6:12:17,	9.676
0,	2016-11-18,	6:12:27,	0.152000000002
0,	2016-11-18,	6:16:27,	12.683
0,	2016-11-18,	6:18:17,	4.189
0,	2016-11-18,	6:18:35,	2.016
0,	2016-11-18,	6:20:39,	0.987000000001
0,	2016-11-18,	6:22:59,	34.829
0,	2016-11-18,	6:23:43,	12.377
0,	2016-11-18,	6:25:46,	33.589
0,	2016-11-18,	6:26:20,	0.396000000001
0,	2016-11-18,	6:27:26,	2.631
0,	2016-11-18,	6:27:30,	18.352
0,	2016-11-18,	6:27:48,	1.056
0,	2016-11-18,	6:28:07,	6.42
0,	2016-11-18,	6:28:31,	0.152000000002
0,	2016-11-18,	6:28:32,	14.069
0,	2016-11-18,	6:28:54,	34.03
0,	2016-11-18,	6:29:28,	0.199000000001
0,	2016-11-18,	6:29:28,	19.953
0,	2016-11-18,	6:29:49,	0.150000000001
0,	2016-11-18,	6:29:49,	97.033
0,	2016-11-18,	6:34:49,	3.403
0,	2016-11-18,	6:35:33,	0.154000000002
0,	2016-11-18,	6:35:33,	0.886000000002
0,	2016-11-18,	6:35:56,	1.903
0,	2016-11-18,	6:37:33,	2.25
0,	2016-11-18,	6:39:37,	23.092
0,	2016-11-18,	6:40:02,	9.45
0,	2016-11-18,	6:43:05,	5.561
0,	2016-11-18,	6:43:10,	0.464
0,	2016-11-18,	6:43:21,	0.150999999998
0,	2016-11-18,	6:43:21,	0.156999999999
0,	2016-11-18,	6:43:22,	0.152999999998
0,	2016-11-18,	6:48:12,	14.477
0,	2016-11-18,	6:49:04,	11.493
0,	2016-11-18,	6:51:01,	5.991
0,	2016-11-18,	6:51:07,	0.147999999997
0,	2016-11-18,	6:51:47,	0.149000000001
0,	2016-11-18,	6:51:47,	2.775
0,	2016-11-18,	6:52:16,	8.241
0,	2016-11-18,	6:52:25,	0.198
0,	2016-11-18,	6:52:44,	6.554
0,	2016-11-18,	7:01:30,	2.291
0,	2016-11-18,	7:01:33,	1.055
0,	2016-11-18,	7:01:40,	2.368
0,	2016-11-18,	7:02:39,	2.556
0,	2016-11-18,	7:02:56,	0.295000000002
0,	2016-11-18,	7:02:56,	0.450999999997
0,	2016-11-18,	7:03:03,	0.458000000002
0,	2016-11-18,	7:03:28,	5.389
0,	2016-11-18,	7:05:20,	25.27
0,	2016-11-18,	7:05:49,	0.148000000001
0,	2016-11-18,	7:05:49,	0.152000000002
0,	2016-11-18,	7:05:50,	0.296999999999
0,	2016-11-18,	7:05:50,	0.148999999998
0,	2016-11-18,	7:07:59,	1.055
0,	2016-11-18,	7:08:38,	0.476999999999
0,	2016-11-18,	7:08:40,	3.347
0,	2016-11-18,	7:09:57,	13.303
0,	2016-11-18,	7:10:11,	10.866
0,	2016-11-18,	7:10:22,	0.146999999997
0,	2016-11-18,	7:14:25,	2.247
0,	2016-11-18,	7:14:36,	1.387
0,	2016-11-18,	7:14:42,	8.897
0,	2016-11-18,	7:16:42,	1.376
0,	2016-11-18,	7:16:43,	3.358
0,	2016-11-18,	7:17:18,	5.508
0,	2016-11-18,	7:17:25,	0.756999999998
0,	2016-11-18,	7:18:01,	0.148000000001
0,	2016-11-18,	7:18:01,	43.863
0,	2016-11-18,	7:22:42,	5.159
0,	2016-11-18,	7:23:44,	10.01
0,	2016-11-18,	7:24:53,	13.077
0,	2016-11-18,	7:25:18,	16.143
0,	2016-11-18,	7:27:42,	5.654
0,	2016-11-18,	7:27:47,	146.637
0,	2016-11-18,	7:30:14,	0.740000000002
0,	2016-11-18,	7:30:23,	4.359
0,	2016-11-18,	7:32:17,	27.514
0,	2016-11-18,	7:32:46,	7.903
0,	2016-11-18,	7:32:54,	10.001
0,	2016-11-18,	7:33:09,	20.39
0,	2016-11-18,	7:33:30,	21.055
0,	2016-11-18,	7:36:40,	2.413
0,	2016-11-18,	7:36:49,	1.515
0,	2016-11-18,	7:38:05,	4.56
0,	2016-11-18,	7:38:10,	0.161
0,	2016-11-18,	7:38:19,	4.781
0,	2016-11-18,	7:38:32,	12.328
0,	2016-11-18,	7:39:18,	7.75
0,	2016-11-18,	7:39:36,	13.297
0,	2016-11-18,	7:41:01,	1.214
0,	2016-11-18,	7:41:02,	0.154999999999
0,	2016-11-18,	7:42:44,	13.484
0,	2016-11-18,	7:43:28,	6.126
0,	2016-11-18,	7:43:59,	4.417
0,	2016-11-18,	7:44:03,	119.547
0,	2016-11-18,	7:46:03,	4.985
0,	2016-11-18,	7:46:08,	0.298000000003
0,	2016-11-18,	7:47:18,	9.992
0,	2016-11-18,	7:47:28,	120.326
0,	2016-11-18,	7:49:29,	4.186
0,	2016-11-18,	7:49:33,	0.607
0,	2016-11-18,	7:49:45,	14.312
0,	2016-11-18,	7:49:59,	0.153999999999
0,	2016-11-18,	7:54:57,	7.354
0,	2016-11-18,	7:55:05,	0.154999999999
0,	2016-11-18,	7:55:05,	16.704
0,	2016-11-18,	7:56:44,	1.348
0,	2016-11-18,	8:00:50,	2.802
0,	2016-11-18,	8:02:30,	32.834
0,	2016-11-18,	8:03:05,	0.460000000003
0,	2016-11-18,	8:03:19,	12.282
0,	2016-11-18,	8:03:31,	0.149999999998
0,	2016-11-18,	8:03:32,	0.150999999998
0,	2016-11-18,	8:07:56,	8.414
0,	2016-11-18,	8:08:40,	5.663
0,	2016-11-18,	8:08:53,	4.693
0,	2016-11-18,	8:11:28,	1.052
0,	2016-11-18,	8:12:10,	6.267
0,	2016-11-18,	8:12:23,	6.424
0,	2016-11-18,	8:12:30,	0.146000000001
0,	2016-11-18,	8:13:32,	16.933
0,	2016-11-18,	8:15:33,	33.422
0,	2016-11-18,	8:16:45,	33.329
0,	2016-11-18,	8:17:44,	5.776
0,	2016-11-18,	8:18:30,	3.515
0,	2016-11-18,	8:18:34,	0.148000000001
0,	2016-11-18,	8:18:48,	0.308000000001
0,	2016-11-18,	8:19:35,	31.765
0,	2016-11-18,	8:21:31,	10.218
0,	2016-11-18,	8:24:46,	19.647
0,	2016-11-18,	8:26:57,	4.824
0,	2016-11-18,	8:27:02,	193.533
0,	2016-11-18,	8:30:15,	5.05
0,	2016-11-18,	8:30:36,	3.483
0,	2016-11-18,	8:38:41,	4.637
0,	2016-11-18,	8:39:32,	4.758
0,	2016-11-18,	8:39:38,	0.48
0,	2016-11-18,	8:40:46,	32.476
0,	2016-11-18,	8:45:30,	15.063
0,	2016-11-18,	8:45:46,	0.302
0,	2016-11-18,	8:45:46,	0.912
0,	2016-11-18,	8:45:53,	1.513
0,	2016-11-18,	8:46:43,	5.054
0,	2016-11-18,	8:47:26,	16.446
0,	2016-11-18,	8:47:44,	77.586
0,	2016-11-18,	8:49:02,	2.27
0,	2016-11-18,	8:51:29,	14.016
0,	2016-11-18,	8:52:13,	3.292
0,	2016-11-18,	8:52:24,	2.116
0,	2016-11-18,	8:53:24,	8.475
0,	2016-11-18,	8:57:49,	2.582
0,	2016-11-18,	8:58:51,	1.271
0,	2016-11-18,	8:58:52,	7.859
0,	2016-11-18,	8:59:01,	1.867
0,	2016-11-18,	8:59:03,	0.615999999998
0,	2016-11-18,	8:59:03,	0.319000000003
0,	2016-11-18,	9:00:34,	9.824
0,	2016-11-18,	9:01:50,	4.793
0,	2016-11-18,	9:01:56,	24.142
0,	2016-11-18,	9:02:27,	0.873
0,	2016-11-18,	9:03:36,	3.728
0,	2016-11-18,	9:04:03,	7.688
0,	2016-11-18,	9:04:34,	1.301
0,	2016-11-18,	9:07:18,	2.26
0,	2016-11-18,	9:15:01,	2.41499999999
0,	2016-11-18,	9:15:27,	7.276
0,	2016-11-18,	9:16:43,	10.847
0,	2016-11-18,	9:20:14,	3.10000000001
0,	2016-11-18,	9:21:13,	5.811
0,	2016-11-18,	9:22:07,	0.178999999996
0,	2016-11-18,	9:22:07,	11.059
0,	2016-11-18,	9:22:46,	3.79300000001
0,	2016-11-18,	9:22:54,	1.984
0,	2016-11-18,	9:23:40,	6.387
0,	2016-11-18,	9:23:46,	0.980000000003
0,	2016-11-18,	9:24:52,	1.249
0,	2016-11-18,	9:27:13,	0.150999999998
0,	2016-11-18,	9:27:36,	28.771
0,	2016-11-18,	9:28:05,	0.146999999997
0,	2016-11-18,	9:28:28,	2.979
0,	2016-11-18,	9:29:33,	12.866
0,	2016-11-18,	9:31:26,	0.859000000004
0,	2016-11-18,	9:31:52,	5.394
0,	2016-11-18,	9:32:44,	3.515
0,	2016-11-18,	9:32:56,	17.562
0,	2016-11-18,	9:33:30,	2.577
0,	2016-11-18,	9:34:02,	0.150999999998
0,	2016-11-18,	9:34:03,	13.143
0,	2016-11-18,	9:35:28,	2.115
0,	2016-11-18,	9:35:34,	1.156
0,	2016-11-18,	9:35:36,	0.438000000002
0,	2016-11-18,	9:35:37,	1.043
0,	2016-11-18,	9:36:45,	2.284
0,	2016-11-18,	9:36:59,	4.97
0,	2016-11-18,	9:37:04,	0.150999999998
0,	2016-11-18,	9:37:05,	37.865
0,	2016-11-18,	9:37:43,	5.391
0,	2016-11-18,	9:37:50,	2.13400000001
0,	2016-11-18,	9:38:57,	0.301999999996
0,	2016-11-18,	9:38:59,	3.42
0,	2016-11-18,	9:42:48,	3.812
0,	2016-11-18,	9:43:07,	6.08700000001
0,	2016-11-18,	9:46:57,	5.329
0,	2016-11-18,	9:47:03,	0.305999999997
0,	2016-11-18,	9:47:04,	0.453000000001
0,	2016-11-18,	9:47:15,	15.45
0,	2016-11-18,	9:47:32,	11.339
0,	2016-11-18,	9:47:46,	4.664
0,	2016-11-18,	9:48:01,	1.091
0,	2016-11-18,	9:48:10,	0.292999999998
0,	2016-11-18,	9:48:15,	7.139
0,	2016-11-18,	9:48:35,	3.842
0,	2016-11-18,	9:48:44,	3.512
0,	2016-11-18,	9:49:03,	9.865
0,	2016-11-18,	9:50:28,	1.546
0,	2016-11-18,	9:52:55,	3.457
0,	2016-11-18,	9:53:02,	0.207999999999
0,	2016-11-18,	9:53:02,	0.188000000002
